湖南电信,#genre#
益阳综合,http://113.218.137.237:9999/udp/239.76.248.15:1234
益阳公共,http://113.218.137.237:9999/udp/239.76.255.16:9000
益阳公共,http://113.218.137.237:9999/udp/239.76.248.16:1234
益阳教育,http://113.218.137.237:9999/udp/239.76.255.17:9000
益阳教育,http://113.218.137.237:9999/udp/239.76.248.17:1234
冷水江综合,http://113.218.137.237:9999/udp/239.76.255.40:9000
湘潭县综合,http://113.218.137.237:9999/udp/239.76.255.41:9000

湖南卫视FHD,http://113.218.137.239:9999/udp/239.76.245.115:1234
湖南卫视FHD20M,http://113.218.137.239:9999/udp/239.76.246.100:1234
湖南经视FHD,http://113.218.137.239:9999/udp/239.76.245.116:1234
湖南都市FHD,http://113.218.137.239:9999/udp/239.76.245.117:1234
湖南电视剧FHD,http://113.218.137.239:9999/udp/239.76.245.118:1234
湖南电影FHD,http://113.218.137.239:9999/udp/239.76.245.119:1234
湖南娱乐FHD,http://113.218.137.239:9999/udp/239.76.245.121:1234
湖南国际FHD,http://113.218.137.239:9999/udp/239.76.245.124:1234
湖南公共FHD,http://113.218.137.239:9999/udp/239.76.245.123:1234
金鹰卡通FHD,http://113.218.137.239:9999/udp/239.76.245.120:1234
金鹰纪实FHD,http://113.218.137.239:9999/udp/239.76.245.122:1234
湖南教育HD,http://113.218.137.239:9999/udp/239.76.245.233:1234

长沙新闻HD,http://113.218.137.239:9999/udp/239.76.246.121:1234
长沙政法HD,http://113.218.137.239:9999/udp/239.76.246.122:1234
长沙女性HD,http://113.218.137.239:9999/udp/239.76.245.23:1234
长沙影视HD,http://113.218.137.239:9999/udp/239.76.245.204:1234

芒果乐搜,http://113.218.137.239:9999/udp/239.76.245.200:1234
芒果乐活,http://113.218.137.239:9999/udp/239.76.245.201:1234
芒果乐淘,http://113.218.137.239:9999/udp/239.76.245.215:1234

湘西综合,http://113.218.137.239:9999/udp/239.76.245.208:1234
湘西综合,http://113.218.137.239:9999/udp/239.76.252.209:9000
张家界2HD,http://113.218.137.239:9999/udp/239.76.245.235:1234
张家界综合HD,http://113.218.137.239:9999/udp/239.76.245.234:1234
浏阳HD,http://113.218.137.239:9999/udp/239.76.248.6:1234
常德综合HD,http://113.218.137.239:9999/udp/239.76.248.10:1234
常德公共HD,http://113.218.137.239:9999/udp/239.76.248.11:1234
衡阳综合HD,http://113.218.137.239:9999/udp/239.76.248.13:1234
衡阳公共HD,http://113.218.137.239:9999/udp/239.76.248.14:1234
娄底综合HD,http://113.218.137.239:9999/udp/239.76.248.18:1234
娄底公共HD,http://113.218.137.239:9999/udp/239.76.248.19:1234
张家界综合HD,http://113.218.137.239:9999/udp/239.76.252.234:9000
张家界2HD,http://113.218.137.239:9999/udp/239.76.252.235:9000
娄底教育HD,http://113.218.137.239:9999/udp/239.76.248.20:1234
XNXTV,http://113.218.137.239:9999/udp/239.76.248.21:1234
邵阳新闻HD,http://113.218.137.239:9999/udp/239.76.248.23:1234
邵阳新闻HD,http://113.218.137.239:9999/udp/239.76.255.21:9000
邵阳公共HD,http://113.218.137.239:9999/udp/239.76.248.22:1234
邵阳公共HD,http://113.218.137.239:9999/udp/239.76.255.22:9000
宁乡综合HD,http://113.218.137.239:9999/udp/239.76.248.57:1234
怀化综合HD,http://113.218.137.239:9999/udp/239.76.255.12:9000
湘西公共HD,http://113.218.137.239:9999/udp/239.76.245.209:1234
湘西公共HD,http://113.218.137.239:9999/udp/239.76.252.210:9000
岳阳综合HD,http://113.218.137.239:9999/udp/239.76.255.7:9000
岳阳综合HD,http://113.218.137.239:9999/udp/239.76.248.7:1234
岳阳公共HD,http://113.218.137.239:9999/udp/239.76.255.8:9000
岳阳公共HD,http://113.218.137.239:9999/udp/239.76.248.8:1234
常德综合HD,http://113.218.137.239:9999/udp/239.76.255.10:9000
常德公共HD,http://113.218.137.239:9999/udp/239.76.255.11:9000
郴州综合HD,http://113.218.137.239:9999/udp/239.76.253.75:9000
郴州综合HD,http://113.218.137.239:9999/udp/239.76.246.75:1234
永州综合HD,http://113.218.137.239:9999/udp/239.76.255.23:9000
永州综合HD,http://113.218.137.239:9999/udp/239.76.248.23:1234
永州公共,http://113.218.137.239:9999/udp/239.76.255.24:9000
永州公共,http://113.218.137.239:9999/udp/239.76.248.24:1234
怀化综合HD,http://113.218.137.239:9999/udp/239.76.248.12:1234
娄底综合HD,http://113.218.137.239:9999/udp/239.76.255.18:9000
娄底公共HD,http://113.218.137.239:9999/udp/239.76.255.19:9000
娄底教育HD,http://113.218.137.239:9999/udp/239.76.255.20:9000
浏阳HD,http://113.218.137.239:9999/udp/239.76.255.6:9000
道县综合HD,http://113.218.137.239:9999/udp/239.76.255.28:9000
道县综合HD,http://113.218.137.239:9999/udp/239.76.255.13:9000
道县综合HD,http://113.218.137.239:9999/udp/239.76.248.28:1234
溆浦综合HD,http://113.218.137.239:9999/udp/239.76.255.25:9000
溆浦综合HD,http://113.218.137.239:9999/udp/239.76.248.25:1234
新化综合HD,http://113.218.137.239:9999/udp/239.76.255.31:9000
新化综合HD,http://113.218.137.239:9999/udp/239.76.248.31:1234
武冈综合HD,http://113.218.137.239:9999/udp/239.76.255.29:9000
武冈综合HD,http://113.218.137.239:9999/udp/239.76.248.29:1234
津市综合HD,http://113.218.137.239:9999/udp/239.76.255.30:9000
津市综合HD,http://113.218.137.239:9999/udp/239.76.248.30:1234
衡阳县电视台HD,http://113.218.137.239:9999/udp/239.76.255.26:9000
衡阳县电视台HD,http://113.218.137.239:9999/udp/239.76.248.26:1234
桂东融媒HD,http://113.218.137.239:9999/udp/239.76.253.231:9000
桂东融媒HD,http://113.218.137.239:9999/udp/239.76.246.231:1234
宁乡综合HD,http://113.218.137.239:9999/udp/239.76.255.57:9000
宁乡综合HD,http://113.218.137.239:9999/udp/239.76.248.57:1234
茶陵综合,http://113.218.137.239:9999/udp/239.76.255.27:9000
茶陵综合,http://113.218.137.239:9999/udp/239.76.248.27:1234
临澧综合HD,http://113.218.137.239:9999/udp/239.76.255.32:9000
临澧综合HD,http://113.218.137.239:9999/udp/239.76.248.32:1234
长沙县综合HD,http://113.218.137.239:9999/udp/239.76.255.33:9000
长沙县综合HD,http://113.218.137.239:9999/udp/239.76.248.33:1234
株洲综合,http://113.218.137.239:9999/udp/239.76.255.1:9000
株洲综合,http://113.218.137.239:9999/udp/239.76.248.1:1234
株洲公共,http://113.218.137.239:9999/udp/239.76.252.236:9000
株洲公共,http://113.218.137.239:9999/udp/239.76.245.236:1234
安仁综合,http://113.218.137.239:9999/udp/239.76.253.123:9000
湘潭综合,http://113.218.137.239:9999/udp/239.76.255.4:9000
湘潭综合,http://113.218.137.239:9999/udp/239.76.248.4:1234
益阳综合,http://113.218.137.239:9999/udp/239.76.255.15:9000
益阳综合,http://113.218.137.239:9999/udp/239.76.248.15:1234
益阳公共,http://113.218.137.239:9999/udp/239.76.255.16:9000
益阳公共,http://113.218.137.239:9999/udp/239.76.248.16:1234
益阳教育,http://113.218.137.239:9999/udp/239.76.255.17:9000
益阳教育,http://113.218.137.239:9999/udp/239.76.248.17:1234
冷水江综合,http://113.218.137.239:9999/udp/239.76.255.40:9000
湘潭县综合,http://113.218.137.239:9999/udp/239.76.255.41:9000

湖南卫视FHD,http://113.218.137.235:9999/udp/239.76.245.115:1234
湖南卫视FHD20M,http://113.218.137.235:9999/udp/239.76.246.100:1234
湖南经视FHD,http://113.218.137.235:9999/udp/239.76.245.116:1234
湖南都市FHD,http://113.218.137.235:9999/udp/239.76.245.117:1234
湖南电视剧FHD,http://113.218.137.235:9999/udp/239.76.245.118:1234
湖南电影FHD,http://113.218.137.235:9999/udp/239.76.245.119:1234
湖南娱乐FHD,http://113.218.137.235:9999/udp/239.76.245.121:1234
湖南国际FHD,http://113.218.137.235:9999/udp/239.76.245.124:1234
湖南公共FHD,http://113.218.137.235:9999/udp/239.76.245.123:1234
金鹰卡通FHD,http://113.218.137.235:9999/udp/239.76.245.120:1234
金鹰纪实FHD,http://113.218.137.235:9999/udp/239.76.245.122:1234
湖南教育HD,http://113.218.137.235:9999/udp/239.76.245.233:1234

长沙新闻HD,http://113.218.137.235:9999/udp/239.76.246.121:1234
长沙政法HD,http://113.218.137.235:9999/udp/239.76.246.122:1234
长沙女性HD,http://113.218.137.235:9999/udp/239.76.245.23:1234
长沙影视HD,http://113.218.137.235:9999/udp/239.76.245.204:1234

芒果乐搜,http://113.218.137.235:9999/udp/239.76.245.200:1234
芒果乐活,http://113.218.137.235:9999/udp/239.76.245.201:1234
芒果乐淘,http://113.218.137.235:9999/udp/239.76.245.215:1234

湘西综合,http://113.218.137.235:9999/udp/239.76.245.208:1234
湘西综合,http://113.218.137.235:9999/udp/239.76.252.209:9000
张家界2HD,http://113.218.137.235:9999/udp/239.76.245.235:1234
张家界综合HD,http://113.218.137.235:9999/udp/239.76.245.234:1234
浏阳HD,http://113.218.137.235:9999/udp/239.76.248.6:1234
常德综合HD,http://113.218.137.235:9999/udp/239.76.248.10:1234
常德公共HD,http://113.218.137.235:9999/udp/239.76.248.11:1234
衡阳综合HD,http://113.218.137.235:9999/udp/239.76.248.13:1234
衡阳公共HD,http://113.218.137.235:9999/udp/239.76.248.14:1234
娄底综合HD,http://113.218.137.235:9999/udp/239.76.248.18:1234
娄底公共HD,http://113.218.137.235:9999/udp/239.76.248.19:1234
张家界综合HD,http://113.218.137.235:9999/udp/239.76.252.234:9000
张家界2HD,http://113.218.137.235:9999/udp/239.76.252.235:9000
娄底教育HD,http://113.218.137.235:9999/udp/239.76.248.20:1234
XNXTV,http://113.218.137.235:9999/udp/239.76.248.21:1234
邵阳新闻HD,http://113.218.137.235:9999/udp/239.76.248.23:1234
邵阳新闻HD,http://113.218.137.235:9999/udp/239.76.255.21:9000
邵阳公共HD,http://113.218.137.235:9999/udp/239.76.248.22:1234
邵阳公共HD,http://113.218.137.235:9999/udp/239.76.255.22:9000
宁乡综合HD,http://113.218.137.235:9999/udp/239.76.248.57:1234
怀化综合HD,http://113.218.137.235:9999/udp/239.76.255.12:9000
湘西公共HD,http://113.218.137.235:9999/udp/239.76.245.209:1234
湘西公共HD,http://113.218.137.235:9999/udp/239.76.252.210:9000
岳阳综合HD,http://113.218.137.235:9999/udp/239.76.255.7:9000
岳阳综合HD,http://113.218.137.235:9999/udp/239.76.248.7:1234
岳阳公共HD,http://113.218.137.235:9999/udp/239.76.255.8:9000
岳阳公共HD,http://113.218.137.235:9999/udp/239.76.248.8:1234
常德综合HD,http://113.218.137.235:9999/udp/239.76.255.10:9000
常德公共HD,http://113.218.137.235:9999/udp/239.76.255.11:9000
郴州综合HD,http://113.218.137.235:9999/udp/239.76.253.75:9000
郴州综合HD,http://113.218.137.235:9999/udp/239.76.246.75:1234
永州综合HD,http://113.218.137.235:9999/udp/239.76.255.23:9000
永州综合HD,http://113.218.137.235:9999/udp/239.76.248.23:1234
永州公共,http://113.218.137.235:9999/udp/239.76.255.24:9000
永州公共,http://113.218.137.235:9999/udp/239.76.248.24:1234
怀化综合HD,http://113.218.137.235:9999/udp/239.76.248.12:1234
娄底综合HD,http://113.218.137.235:9999/udp/239.76.255.18:9000
娄底公共HD,http://113.218.137.235:9999/udp/239.76.255.19:9000
娄底教育HD,http://113.218.137.235:9999/udp/239.76.255.20:9000
浏阳HD,http://113.218.137.235:9999/udp/239.76.255.6:9000
道县综合HD,http://113.218.137.235:9999/udp/239.76.255.28:9000
道县综合HD,http://113.218.137.235:9999/udp/239.76.255.13:9000
道县综合HD,http://113.218.137.235:9999/udp/239.76.248.28:1234
溆浦综合HD,http://113.218.137.235:9999/udp/239.76.255.25:9000
溆浦综合HD,http://113.218.137.235:9999/udp/239.76.248.25:1234
新化综合HD,http://113.218.137.235:9999/udp/239.76.255.31:9000
新化综合HD,http://113.218.137.235:9999/udp/239.76.248.31:1234
武冈综合HD,http://113.218.137.235:9999/udp/239.76.255.29:9000
武冈综合HD,http://113.218.137.235:9999/udp/239.76.248.29:1234
津市综合HD,http://113.218.137.235:9999/udp/239.76.255.30:9000
津市综合HD,http://113.218.137.235:9999/udp/239.76.248.30:1234
衡阳县电视台HD,http://113.218.137.235:9999/udp/239.76.255.26:9000
衡阳县电视台HD,http://113.218.137.235:9999/udp/239.76.248.26:1234
桂东融媒HD,http://113.218.137.235:9999/udp/239.76.253.231:9000
桂东融媒HD,http://113.218.137.235:9999/udp/239.76.246.231:1234
宁乡综合HD,http://113.218.137.235:9999/udp/239.76.255.57:9000
宁乡综合HD,http://113.218.137.235:9999/udp/239.76.248.57:1234
茶陵综合,http://113.218.137.235:9999/udp/239.76.255.27:9000
茶陵综合,http://113.218.137.235:9999/udp/239.76.248.27:1234
临澧综合HD,http://113.218.137.235:9999/udp/239.76.255.32:9000
临澧综合HD,http://113.218.137.235:9999/udp/239.76.248.32:1234
长沙县综合HD,http://113.218.137.235:9999/udp/239.76.255.33:9000
长沙县综合HD,http://113.218.137.235:9999/udp/239.76.248.33:1234
株洲综合,http://113.218.137.235:9999/udp/239.76.255.1:9000
株洲综合,http://113.218.137.235:9999/udp/239.76.248.1:1234
株洲公共,http://113.218.137.235:9999/udp/239.76.252.236:9000
株洲公共,http://113.218.137.235:9999/udp/239.76.245.236:1234
安仁综合,http://113.218.137.235:9999/udp/239.76.253.123:9000
湘潭综合,http://113.218.137.235:9999/udp/239.76.255.4:9000
湘潭综合,http://113.218.137.235:9999/udp/239.76.248.4:1234
益阳综合,http://113.218.137.235:9999/udp/239.76.255.15:9000
益阳综合,http://113.218.137.235:9999/udp/239.76.248.15:1234
益阳公共,http://113.218.137.235:9999/udp/239.76.255.16:9000
益阳公共,http://113.218.137.235:9999/udp/239.76.248.16:1234
益阳教育,http://113.218.137.235:9999/udp/239.76.255.17:9000
益阳教育,http://113.218.137.235:9999/udp/239.76.248.17:1234
冷水江综合,http://113.218.137.235:9999/udp/239.76.255.40:9000
湘潭县综合,http://113.218.137.235:9999/udp/239.76.255.41:9000

